ParticipantName	GazeEventDuration	AOI[HUD]Hit	
Försöksperson1	133	0	
Försöksperson1	133	0	
Försöksperson1	133	0	
Försöksperson1	133	0	
Försöksperson1	133	0	
Försöksperson1	133	0	
Försöksperson1	133	0	
Försöksperson1	17	0	
Försöksperson1	50	0	
Försöksperson1	50	0	
Försöksperson1	50	0	
Försöksperson1	316	0	
Försöksperson1	316	0	
Försöksperson1	316	0	
Försöksperson1	316	0	
Försöksperson1	316	0	
Försöksperson1	316	0	
Försöksperson1	316	0	
Försöksperson1	316	0	
Försöksperson1	316	0	
Försöksperson1	316	0	
Försöksperson1	316	0	
Försöksperson1	316	0	
Försöksperson1	316	0	
Försöksperson1	316	0	
Försöksperson1	316	0	
Försöksperson1	316	0	
Försöksperson1	316	0	
Försöksperson1	316	0	
Försöksperson1	316	0	
Försöksperson1	17	0	
Försöksperson1	133	0	
Försöksperson1	133	0	
Försöksperson1	133	0	
Försöksperson1	133	0	
Försöksperson1	133	0	
Försöksperson1	133	0	
Försöksperson1	133	0	
Försöksperson1	133	0	
Försöksperson1	17	0	
Försöksperson1	266	0	
Försöksperson1	266	0	
Försöksperson1	266	0	
Försöksperson1	266	0	
Försöksperson1	266	0	
Försöksperson1	266	0	
Försöksperson1	266	0	
Försöksperson1	266	0	
Försöksperson1	266	0	
Försöksperson1	266	0	
Försöksperson1	266	0	
Försöksperson1	266	0	
Försöksperson1	266	0	
Försöksperson1	266	0	
Försöksperson1	266	0	
Försöksperson1	266	0	
Försöksperson1	17	0	
Försöksperson1	83	0	
Försöksperson1	83	0	
Försöksperson1	83	0	
Försöksperson1	83	0	
Försöksperson1	83	0	
Försöksperson1	17	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	1499	0	
Försöksperson1	17	0	
Försöksperson1	150	0	
Försöksperson1	150	0	
Försöksperson1	150	0	
Försöksperson1	150	0	
Försöksperson1	150	0	
Försöksperson1	150	0	
Försöksperson1	150	0	
Försöksperson1	150	0	
Försöksperson1	150	0	
Försöksperson1	17	0	
Försöksperson1	316	0	
Försöksperson1	316	0	
Försöksperson1	316	0	
Försöksperson1	316	0	
Försöksperson1	316	0	
Försöksperson1	316	0	
Försöksperson1	316	0	
Försöksperson1	316	0	
Försöksperson1	316	0	
Försöksperson1	316	0	
Försöksperson1	316	0	
Försöksperson1	316	0	
Försöksperson1	316	0	
Försöksperson1	316	0	
Försöksperson1	316	0	
Försöksperson1	316	0	
Försöksperson1	316	0	
Försöksperson1	316	0	
Försöksperson1	316	0	
Försöksperson1	17	0	
Försöksperson1	200	0	
Försöksperson1	200	0	
Försöksperson1	200	0	
Försöksperson1	200	0	
Försöksperson1	200	0	
Försöksperson1	200	0	
Försöksperson1	200	0	
Försöksperson1	200	0	
Försöksperson1	200	0	
Försöksperson1	200	0	
Försöksperson1	200	0	
Försöksperson1	200	0	
Försöksperson1	17	0	
Försöksperson1	167	0	
Försöksperson1	167	0	
